Date,Spend,AMS_revenue,Impressions,Clicks,PID,CID
26-11-2018,1940.69,35863.86,910054,5053,p3,c3
03-12-2018,3724.54,62921.85,1332042,8806,p3,c3
10-12-2018,4114.44,72499.58,1348321,8783,p3,c3
17-12-2018,2541.87,41785.79,1077766,5605,p3,c3
24-12-2018,723.69,5341.84,627432,1791,p3,c3
01-01-2018,27.99,258.43,9699,62,p4,c1
08-01-2018,0,0,0,0,p4,c1
15-01-2018,0,0,0,0,p4,c1
22-01-2018,0,0,0,0,p4,c1
29-01-2018,0,0,0,0,p4,c1
05-02-2018,0,0,0,0,p4,c1
12-02-2018,0,0,0,0,p4,c1
19-02-2018,0,0,0,0,p4,c1
26-02-2018,0,0,0,0,p4,c1
05-03-2018,0,0,0,0,p4,c1
12-03-2018,0,0,0,0,p4,c1
19-03-2018,0,0,0,0,p4,c1
26-03-2018,0,0,0,0,p4,c1
02-04-2018,0,0,0,0,p4,c1
09-04-2018,0,0,0,0,p4,c1
16-04-2018,0,0,0,0,p4,c1
23-04-2018,1.61,0,229,3,p4,c1
30-04-2018,15.83,166.92,2499,33,p4,c1
07-05-2018,0,0,0,0,p4,c1
14-05-2018,0,0,0,0,p4,c1
21-05-2018,0,0,0,0,p4,c1
28-05-2018,0,0,0,0,p4,c1
04-06-2018,0,0,0,0,p4,c1
11-06-2018,13.15,182.54,10983,51,p4,c1
18-06-2018,16.19,139.75,11935,42,p4,c1
25-06-2018,10.2,38.63,11552,40,p4,c1
02-07-2018,7.6,47.98,6607,30,p4,c1
09-07-2018,7.12,87.99,5845,33,p4,c1
16-07-2018,11.37,153.4,11867,51,p4,c1
23-07-2018,10.8,39,7041,33,p4,c1
30-07-2018,10.07,105.26,7957,39,p4,c1
06-08-2018,10.69,46.34,6608,44,p4,c1
13-08-2018,8.02,102.48,8398,34,p4,c1
20-08-2018,7.56,97.6,7244,33,p4,c1
27-08-2018,7.73,23.49,6471,34,p4,c1
03-09-2018,14.83,651.74,7904,42,p4,c1
10-09-2018,14.74,137.21,8681,58,p4,c1
17-09-2018,16.7,139.06,10839,59,p4,c1
24-09-2018,1.26,44.73,1568,9,p4,c1
01-10-2018,20.01,163.14,11469,75,p4,c1
08-10-2018,11.91,159.89,13360,53,p4,c1
15-10-2018,17.64,369.87,12178,74,p4,c1
22-10-2018,13.6,34,8561,56,p4,c1
29-10-2018,12.25,107.99,10366,58,p4,c1
05-11-2018,15.78,271.36,16460,68,p4,c1
12-11-2018,34.67,328.36,32659,122,p4,c1
19-11-2018,91.39,1046.26,116898,273,p4,c1
26-11-2018,116.57,1622.06,92911,399,p4,c1
03-12-2018,174.25,2661.01,152772,555,p4,c1
10-12-2018,239.23,3345.22,83733,526,p4,c1
17-12-2018,172.04,2523.04,60637,429,p4,c1
24-12-2018,43.2,352.61,21555,111,p4,c1
01-01-2018,72.05,568.22,41681,144,p5,c1
08-01-2018,88.58,1146.77,29575,144,p5,c1
15-01-2018,40.4,284.73,19023,76,p5,c1
22-01-2018,12.25,176.34,13769,28,p5,c1
29-01-2018,31.5,471.77,27073,57,p5,c1
05-02-2018,0,0,0,0,p5,c1
12-02-2018,0,0,0,0,p5,c1
19-02-2018,0,0,0,0,p5,c1
26-02-2018,0,0,0,0,p5,c1
05-03-2018,0,0,0,0,p5,c1
12-03-2018,0,0,0,0,p5,c1
19-03-2018,0,0,0,0,p5,c1
26-03-2018,1.12,0,1693,5,p5,c1
02-04-2018,0.62,0,3568,5,p5,c1
09-04-2018,0,0,0,0,p5,c1
16-04-2018,0,0,0,0,p5,c1
23-04-2018,0,0,675,0,p5,c1
30-04-2018,1.47,23.49,4279,9,p5,c1
07-05-2018,0,0,0,0,p5,c1
14-05-2018,0,0,0,0,p5,c1
21-05-2018,0,0,0,0,p5,c1
28-05-2018,0,0,0,0,p5,c1
04-06-2018,0.47,0,715,2,p5,c1
11-06-2018,3.11,38.63,4370,14,p5,c1
18-06-2018,0,0,0,0,p5,c1
25-06-2018,0,0,0,0,p5,c1
02-07-2018,0,0,0,0,p5,c1
09-07-2018,0,0,0,0,p5,c1
16-07-2018,0,0,0,0,p5,c1
23-07-2018,0,0,0,0,p5,c1
30-07-2018,0.31,0,3076,2,p5,c1
06-08-2018,5.56,349.26,15553,27,p5,c1
13-08-2018,0,0,0,0,p5,c1
20-08-2018,0,0,0,0,p5,c1
15-10-2018,2.89,0,4824,13,p5,c1
22-10-2018,19.21,234.34,32746,61,p5,c1
29-10-2018,12.08,138.41,18642,46,p5,c1
05-11-2018,14.75,195.37,6821,41,p5,c1
12-11-2018,73.83,1068.32,55838,214,p5,c1
19-11-2018,131.71,2210.9,104303,349,p5,c1
26-11-2018,0,0,0,0,p5,c1
03-12-2018,0,0,0,0,p5,c1
24-12-2018,29.66,191.93,22784,83,p5,c1
01-01-2018,1.85,18.99,2576,6,p6,c9
08-01-2018,12.95,120.81,8689,43,p6,c9
15-01-2018,13.46,195.19,11115,43,p6,c9
22-01-2018,11.04,238.7,9572,43,p6,c9
29-01-2018,2.77,50.37,1355,8,p6,c9
05-02-2018,0,0,0,0,p6,c9
12-02-2018,0,0,0,0,p6,c9
19-02-2018,0,0,0,0,p6,c9
26-02-2018,0,0,0,0,p6,c9
05-03-2018,0,0,0,0,p6,c9
12-03-2018,0,0,0,0,p6,c9
19-03-2018,17.66,111.96,17136,42,p6,c9
26-03-2018,8.39,93.62,5742,29,p6,c9
02-04-2018,6.93,289.75,4875,34,p6,c9
09-04-2018,22.34,192.97,5441,53,p6,c9
16-04-2018,13.91,69.61,6920,45,p6,c9
23-04-2018,8.55,33.82,4890,17,p6,c9
30-04-2018,6.47,110.03,7415,22,p6,c9
07-05-2018,8.33,22.31,9620,30,p6,c9
14-05-2018,14.97,243.6,6240,33,p6,c9
21-05-2018,16.01,109.04,12158,47,p6,c9
28-05-2018,13.13,119.37,10876,43,p6,c9
04-06-2018,13.04,114.02,8663,39,p6,c9
11-06-2018,10.71,71.81,10559,44,p6,c9
18-06-2018,11.22,125.83,24883,48,p6,c9
25-06-2018,19.34,80.03,39958,56,p6,c9
02-07-2018,14.9,158.61,22915,42,p6,c9
09-07-2018,12.29,191.11,12859,46,p6,c9
16-07-2018,11.34,73.96,35297,44,p6,c9
23-07-2018,9.05,60.97,12200,33,p6,c9
30-07-2018,5.62,51.18,12833,27,p6,c9
06-08-2018,7.57,67.13,7912,28,p6,c9
13-08-2018,8.19,124.35,6918,24,p6,c9
20-08-2018,9.74,66.34,7806,33,p6,c9
27-08-2018,11.98,79.46,7272,38,p6,c9
03-09-2018,23.22,177.04,10318,58,p6,c9
10-09-2018,29.04,298.73,9450,69,p6,c9
17-09-2018,26.65,350.23,10460,68,p6,c9
24-09-2018,31.03,218.98,10622,70,p6,c9
01-10-2018,28.11,300.07,15606,72,p6,c9
08-10-2018,44.21,321.27,20013,106,p6,c9
15-10-2018,48.79,447.85,20699,117,p6,c9
22-10-2018,76.22,507.93,25883,173,p6,c9
29-10-2018,109.35,527.4,30863,242,p6,c9
05-11-2018,102.7,605.81,42286,255,p6,c9
12-11-2018,84.16,775.46,38745,229,p6,c9
19-11-2018,54.95,469.44,47213,186,p6,c9
26-11-2018,84.73,945.8,74865,307,p6,c9
03-12-2018,70.2,641.95,80899,238,p6,c9
10-12-2018,147.99,1337.16,161814,472,p6,c9
17-12-2018,52.75,516.23,58821,177,p6,c9
24-12-2018,20.7,64.56,15568,68,p6,c9
01-01-2018,138.81,1774.06,75629,431,p7,c9
08-01-2018,216.97,1639.54,134333,611,p7,c9
15-01-2018,169.72,1650.52,106755,518,p7,c9
22-01-2018,123.84,1076.79,271098,434,p7,c9
29-01-2018,42.21,836.58,81487,146,p7,c9
05-02-2018,0,0,0,0,p7,c9
12-02-2018,0,0,0,0,p7,c9
19-02-2018,0,0,0,0,p7,c9
26-02-2018,0,0,0,0,p7,c9
05-03-2018,0,0,0,0,p7,c9
12-03-2018,0,0,0,0,p7,c9
19-03-2018,40.02,751.93,21194,160,p7,c9
26-03-2018,77.64,1378.7,22804,229,p7,c9
02-04-2018,73.26,996.94,43008,222,p7,c9
09-04-2018,80,909.83,54809,238,p7,c9
16-04-2018,112.05,1217.46,96919,319,p7,c9
23-04-2018,129.98,1315.27,137138,405,p7,c9
30-04-2018,192.83,1880.08,165487,484,p7,c9
07-05-2018,168.07,1184.75,177285,398,p7,c9
14-05-2018,171.66,1614.3,203560,461,p7,c9
21-05-2018,200.41,2045.04,232281,536,p7,c9
28-05-2018,238.47,2022.45,236350,676,p7,c9
04-06-2018,202.5,1663.23,195829,576,p7,c9
11-06-2018,196.34,1570.5,179503,562,p7,c9
18-06-2018,187.86,1585.82,199010,566,p7,c9
25-06-2018,181.54,1030.67,172099,491,p7,c9
02-07-2018,148.88,1349.65,75939,377,p7,c9
09-07-2018,94.1,1415.78,94433,310,p7,c9
16-07-2018,137.11,1663.88,149366,413,p7,c9
23-07-2018,145.26,1333.29,132115,430,p7,c9
30-07-2018,133.72,1544.8,116306,465,p7,c9
06-08-2018,154.18,1845.55,158606,532,p7,c9
13-08-2018,163.67,1801.71,128577,520,p7,c9
20-08-2018,187.66,2760.97,154670,585,p7,c9
27-08-2018,140.99,1685.34,90019,485,p7,c9
03-09-2018,155.22,1823.46,79689,552,p7,c9
10-09-2018,156.24,1601.81,80179,556,p7,c9
17-09-2018,146.11,2058.44,70353,531,p7,c9
24-09-2018,192.76,1908.72,139884,581,p7,c9
01-10-2018,163.37,1590.54,162587,593,p7,c9
08-10-2018,143.82,1675,106044,563,p7,c9
15-10-2018,135.16,1523.1,89571,563,p7,c9
22-10-2018,180.44,1550.08,101858,662,p7,c9
29-10-2018,269.71,2050.45,128178,896,p7,c9
05-11-2018,279.07,2044.81,159201,887,p7,c9
12-11-2018,209.01,2072.06,137294,752,p7,c9
19-11-2018,165.29,2593.44,129352,731,p7,c9
26-11-2018,187.23,3979.34,142182,837,p7,c9
03-12-2018,203.92,3635.76,168057,939,p7,c9
10-12-2018,184.63,3666.98,181942,911,p7,c9
17-12-2018,123.03,2028.31,113435,573,p7,c9
24-12-2018,42.44,556.18,37497,206,p7,c9
01-01-2018,21.37,262.15,19335,88,p8,c9
08-01-2018,47.65,519.66,38062,154,p8,c9
15-01-2018,47.79,457.96,39348,150,p8,c9
22-01-2018,65.27,440.87,49794,179,p8,c9
29-01-2018,19.75,225.78,12729,61,p8,c9
05-02-2018,0,0,0,0,p8,c9
12-02-2018,0,0,0,0,p8,c9
19-02-2018,0,0,0,0,p8,c9
26-02-2018,0,0,0,0,p8,c9
05-03-2018,0,0,0,0,p8,c9
12-03-2018,0,0,0,0,p8,c9
19-03-2018,31.03,426.58,16987,87,p8,c9
26-03-2018,49.56,1125.44,19152,127,p8,c9
02-04-2018,60.42,538.37,29915,146,p8,c9
09-04-2018,63.44,869.38,26441,137,p8,c9
16-04-2018,69.57,777.22,52129,181,p8,c9
23-04-2018,86.2,650.9,132612,258,p8,c9
30-04-2018,56.63,1002.06,85588,169,p8,c9
07-05-2018,46.19,564.25,63357,138,p8,c9
14-05-2018,69.27,908.78,52903,161,p8,c9
21-05-2018,85.66,418.42,56545,201,p8,c9
28-05-2018,67.29,448.89,58441,190,p8,c9
04-06-2018,67.13,503.11,64740,184,p8,c9
11-06-2018,64.96,454.99,73953,172,p8,c9
18-06-2018,55.77,406.5,70693,186,p8,c9
25-06-2018,72.65,400.47,54245,174,p8,c9
02-07-2018,63.38,383.53,47971,167,p8,c9
09-07-2018,27.96,430.15,29128,126,p8,c9
16-07-2018,39.32,466.53,47739,172,p8,c9
23-07-2018,40.78,652.49,36705,200,p8,c9
30-07-2018,42.58,595.87,49291,193,p8,c9
06-08-2018,52.27,695.05,62876,208,p8,c9
13-08-2018,49.36,738.22,66448,222,p8,c9
20-08-2018,65.45,1303.98,66972,265,p8,c9
27-08-2018,79.62,864.04,73558,281,p8,c9
03-09-2018,92.47,965.75,88799,302,p8,c9
10-09-2018,81.65,1203.32,78828,274,p8,c9
17-09-2018,75.08,682.8,78375,253,p8,c9
24-09-2018,69.31,725.28,61404,241,p8,c9
01-10-2018,75.19,566.82,74752,263,p8,c9
08-10-2018,90.03,1015.07,78330,260,p8,c9
15-10-2018,93.06,538.66,91112,289,p8,c9
22-10-2018,114.09,961.3,112473,329,p8,c9
29-10-2018,112.54,1132.07,103800,324,p8,c9
05-11-2018,120.14,1076.94,154886,340,p8,c9
12-11-2018,107.88,822.87,144188,367,p8,c9
19-11-2018,113.21,1127.82,209518,447,p8,c9
26-11-2018,179.94,2323.13,298674,734,p8,c9
03-12-2018,206.5,2265.66,556338,898,p8,c9
10-12-2018,256.33,2721.87,643014,1045,p8,c9
17-12-2018,118.06,1333.74,270459,457,p8,c9
24-12-2018,48.43,402.72,110366,204,p8,c9
01-01-2018,2.87,27.99,2457,20,p9,c8
08-01-2018,7.64,187.85,4300,41,p9,c8
15-01-2018,12.94,95.42,10456,53,p9,c8
22-01-2018,12.83,27.99,7080,46,p9,c8
29-01-2018,1.99,133.93,1392,8,p9,c8
05-02-2018,0,0,0,0,p9,c8
12-02-2018,0,0,0,0,p9,c8
19-02-2018,0,0,0,0,p9,c8
26-02-2018,0,0,0,0,p9,c8
05-03-2018,0,0,0,0,p9,c8
19-03-2018,0,0,0,0,p9,c8
26-03-2018,2.58,83.97,1803,19,p9,c8
02-04-2018,0.94,27.99,512,8,p9,c8
09-04-2018,5.7,82.48,1150,20,p9,c8
16-04-2018,4.91,0,1163,12,p9,c8
23-04-2018,0.79,26.57,814,6,p9,c8
30-04-2018,7.35,180.92,2604,28,p9,c8
07-05-2018,3.33,40.76,889,10,p9,c8
14-05-2018,9.63,398.2,2332,31,p9,c8
21-05-2018,21.42,246.17,5097,51,p9,c8
28-05-2018,30.6,136.83,7240,68,p9,c8
04-06-2018,24.59,138.25,6562,54,p9,c8
11-06-2018,7.7,103.08,3266,31,p9,c8
18-06-2018,14.81,25.77,5670,39,p9,c8
25-06-2018,28.88,320.51,10433,78,p9,c8
02-07-2018,8.56,25.77,4033,36,p9,c8
09-07-2018,3.13,0,2389,15,p9,c8
16-07-2018,4.33,129.26,3015,26,p9,c8
23-07-2018,5.13,69.53,1596,27,p9,c8
30-07-2018,0.74,25.77,708,6,p9,c8
06-08-2018,4.3,103.08,1609,26,p9,c8
13-08-2018,5,95.28,1980,31,p9,c8
20-08-2018,7.81,135.42,4618,44,p9,c8
27-08-2018,6.53,37.99,3683,35,p9,c8
03-09-2018,5.11,107.97,3688,27,p9,c8
10-09-2018,8.96,89.61,5292,40,p9,c8
17-09-2018,9.39,188.59,5567,42,p9,c8
24-09-2018,6.48,46.26,4395,29,p9,c8
01-10-2018,8.38,107.85,4101,46,p9,c8
08-10-2018,10.04,81.89,5469,49,p9,c8
15-10-2018,11,283.93,5773,59,p9,c8
22-10-2018,13.96,35.95,6359,61,p9,c8
29-10-2018,15.61,345.62,5632,72,p9,c8
05-11-2018,13.69,114.02,7560,65,p9,c8
12-11-2018,13.48,276.72,5535,60,p9,c8
19-11-2018,10.28,317.59,4114,61,p9,c8
26-11-2018,17.38,630.79,9698,100,p9,c8
03-12-2018,18.69,853.36,11180,118,p9,c8
10-12-2018,9,404.04,5394,61,p9,c8
17-12-2018,15.5,533.7,6536,92,p9,c8
24-12-2018,3.19,0,2299,23,p9,c8
01-01-2018,22.48,244.31,58671,186,p10,c5
08-01-2018,17.85,291.74,45642,155,p10,c5
15-01-2018,19.48,217.57,45084,183,p10,c5
22-01-2018,17.95,450.1,31909,160,p10,c5
29-01-2018,5.03,131.88,7837,46,p10,c5
05-02-2018,0,0,0,0,p10,c5
12-02-2018,0,0,0,0,p10,c5
19-02-2018,0,0,0,0,p10,c5
26-02-2018,0,0,0,0,p10,c5
05-03-2018,0,0,0,0,p10,c5
12-03-2018,0,0,0,0,p10,c5
19-03-2018,0,0,0,0,p10,c5
26-03-2018,18.41,78.4,40733,86,p10,c5
02-04-2018,34.92,477.96,40204,159,p10,c5
09-04-2018,62.81,199.29,116425,252,p10,c5
16-04-2018,59.44,281.28,78954,247,p10,c5
23-04-2018,65.29,258.16,75444,243,p10,c5
30-04-2018,62.29,255.64,67197,234,p10,c5
07-05-2018,40.2,218,46490,166,p10,c5
14-05-2018,26.3,222.82,32835,130,p10,c5
21-05-2018,29.46,319.71,36758,149,p10,c5
28-05-2018,10.41,162.13,17646,52,p10,c5
04-06-2018,27.7,191.6,39958,141,p10,c5
11-06-2018,25.77,350.03,34763,124,p10,c5
18-06-2018,28.25,239.11,33456,136,p10,c5
25-06-2018,6,5.89,6163,27,p10,c5
02-07-2018,0,0,9,0,p10,c5
09-07-2018,8.62,70.43,9038,42,p10,c5
16-07-2018,32.67,290.1,36589,172,p10,c5
23-07-2018,38.75,426.08,39738,187,p10,c5
30-07-2018,22.87,190,21565,110,p10,c5
06-08-2018,52.86,893.04,43070,253,p10,c5
13-08-2018,0,0,0,0,p10,c5
20-08-2018,69.31,867.07,77388,311,p10,c5
27-08-2018,83.07,671.99,87196,361,p10,c5
03-09-2018,78.12,758.21,104878,336,p10,c5
10-09-2018,181.94,1563.79,223142,563,p10,c5
17-09-2018,221.87,1676.26,248604,696,p10,c5
24-09-2018,65.35,413.53,76489,209,p10,c5
01-10-2018,3.97,0,5753,12,p10,c5
08-10-2018,4.29,17.67,3844,13,p10,c5
15-10-2018,0.39,0,2328,1,p10,c5
22-10-2018,0.34,0,1015,2,p10,c5
29-10-2018,59.44,468.48,59530,215,p10,c5
05-11-2018,85.8,595.97,78767,316,p10,c5
12-11-2018,83.58,615.11,76206,326,p10,c5
19-11-2018,35.21,213.18,43132,160,p10,c5
26-11-2018,18.49,95.87,25704,117,p10,c5
03-12-2018,27.41,346.53,37320,160,p10,c5
10-12-2018,39.28,407.98,53282,234,p10,c5
17-12-2018,30.74,329.23,40356,178,p10,c5
24-12-2018,23.07,210.01,32368,144,p10,c5
01-01-2018,3.37,362.36,2001,26,p11,c12
08-01-2018,3.38,233.39,2090,26,p11,c12
15-01-2018,3.46,127.49,2118,28,p11,c12
22-01-2018,3.58,242.91,2752,26,p11,c12
29-01-2018,1.2,0,1320,10,p11,c12
05-02-2018,0,0,0,0,p11,c12
12-02-2018,0,0,0,0,p11,c12
19-02-2018,0,0,0,0,p11,c12
26-02-2018,0,0,0,0,p11,c12
05-03-2018,0,0,0,0,p11,c12
12-03-2018,0,0,0,0,p11,c12
19-03-2018,0,0,0,0,p11,c12
26-03-2018,0.68,124.65,532,8,p11,c12
02-04-2018,0.23,0,630,3,p11,c12
09-04-2018,0.71,53.97,920,7,p11,c12
16-04-2018,1.34,72.95,996,13,p11,c12
23-04-2018,2.41,64.45,1137,20,p11,c12
30-04-2018,1.46,161.91,1245,11,p11,c12
07-05-2018,0.29,17.99,1130,7,p11,c12
14-05-2018,2.61,133.02,1480,20,p11,c12
21-05-2018,6.77,47.85,6316,37,p11,c12
28-05-2018,5.01,183.39,5281,25,p11,c12
04-06-2018,4.42,57.82,1843,22,p11,c12
11-06-2018,2.7,27.97,1582,15,p11,c12
18-06-2018,5.25,544.24,2613,29,p11,c12
25-06-2018,4.86,0,3426,26,p11,c12
02-07-2018,5.02,230.01,2444,33,p11,c12
09-07-2018,4.27,175.42,2287,26,p11,c12
16-07-2018,6.32,398.37,4106,39,p11,c12
23-07-2018,7.87,474.31,4799,46,p11,c12
30-07-2018,12.43,1102.48,11560,66,p11,c12
06-08-2018,9.4,367.51,11122,54,p11,c12
13-08-2018,11.21,478.93,15141,66,p11,c12
20-08-2018,11.69,652.84,12281,63,p11,c12
27-08-2018,10.26,545.18,10863,56,p11,c12
03-09-2018,12.27,602.38,13461,60,p11,c12
10-09-2018,7.36,615.17,11760,38,p11,c12
17-09-2018,10.98,865.48,11226,58,p11,c12
24-09-2018,7.83,183.95,11797,38,p11,c12
01-10-2018,6.93,158.62,11830,34,p11,c12
08-10-2018,8.41,244.06,7521,45,p11,c12
15-10-2018,6.18,332.82,5097,36,p11,c12
22-10-2018,6.08,182.02,5723,35,p11,c12
