Date,Units,Revenue,Inventory_Amount,Inventory_Units,Price,PID,CID
10-12-2018,1693,33681.83,6849,,19.89476078,p1,c1
17-12-2018,2382,46450.18,5325,,19.50049538,p1,c1
24-12-2018,311,6061.39,3167,,19.49,p1,c1
01-01-2018,2,85.48,,,42.74,p2,c1
08-01-2018,2,89.98,121,,44.99,p2,c1
15-01-2018,7,314.93,119,,44.99,p2,c1
22-01-2018,3,116.91,116,,38.97,p2,c1
29-01-2018,5,170.73,114,,34.146,p2,c1
05-02-2018,2,70.15,109,,35.075,p2,c1
12-02-2018,3,118.95,108,,39.65,p2,c1
19-02-2018,5,198.25,103,,39.65,p2,c1
26-02-2018,1,39.65,97,,39.65,p2,c1
05-03-2018,4,158.6,96,,39.65,p2,c1
12-03-2018,6,237.9,94,,39.65,p2,c1
19-03-2018,10,354.51,87,,35.451,p2,c1
26-03-2018,9,311.94,82,,34.66,p2,c1
02-04-2018,11,381.26,73,,34.66,p2,c1
09-04-2018,6,207.96,61,,34.66,p2,c1
16-04-2018,4,138.64,53,,34.66,p2,c1
23-04-2018,3,103.98,50,,34.66,p2,c1
30-04-2018,8,277.28,42,,34.66,p2,c1
07-05-2018,7,242.62,34,,34.66,p2,c1
14-05-2018,8,277.28,27,,34.66,p2,c1
21-05-2018,13,450.58,34,,34.66,p2,c1
28-05-2018,17,589.22,28,,34.66,p2,c1
04-06-2018,14,485.24,34,,34.66,p2,c1
11-06-2018,18,623.88,23,,34.66,p2,c1
18-06-2018,4,138.64,13,,34.66,p2,c1
25-06-2018,17,589.22,4,,34.66,p2,c1
02-07-2018,5,173.3,48,,34.66,p2,c1
09-07-2018,7,242.62,60,,34.66,p2,c1
16-07-2018,12,415.92,60,,34.66,p2,c1
23-07-2018,7,242.62,69,,34.66,p2,c1
30-07-2018,10,346.6,63,,34.66,p2,c1
06-08-2018,8,277.28,62,,34.66,p2,c1
13-08-2018,13,450.58,53,,34.66,p2,c1
20-08-2018,22,762.52,57,,34.66,p2,c1
27-08-2018,14,485.24,28,,34.66,p2,c1
03-09-2018,20,693.2,22,,34.66,p2,c1
10-09-2018,13,450.58,60,,34.66,p2,c1
17-09-2018,15,525.27,65,,35.018,p2,c1
24-09-2018,17,612.04,74,,36.00235294,p2,c1
01-10-2018,21,756,66,,36,p2,c1
08-10-2018,15,540,55,,36,p2,c1
15-10-2018,2,72,42,,36,p2,c1
22-10-2018,9,324,47,,36,p2,c1
29-10-2018,13,468,120,,36,p2,c1
05-11-2018,17,612,108,,36,p2,c1
12-11-2018,9,324,118,,36,p2,c1
19-11-2018,30,1080,112,,36,p2,c1
26-11-2018,41,1476,163,,36,p2,c1
03-12-2018,32,1152,177,,36,p2,c1
10-12-2018,35,1260,165,,36,p2,c1
17-12-2018,40,1439.88,154,,35.997,p2,c1
24-12-2018,1,35.9,120,,35.9,p2,c1
01-01-2018,738,16691.62,,,22.61737127,p3,c3
08-01-2018,659,14819.41,859,,22.48772382,p3,c3
15-01-2018,499,11222.51,582,,22.49,p3,c3
22-01-2018,48,1090.72,66,,22.72333333,p3,c3
29-01-2018,35,1023.65,14,,29.24714286,p3,c3
05-02-2018,10,292.4,5,,29.24,p3,c3
12-02-2018,3,89.97,5,,29.99,p3,c3
19-02-2018,1,29.99,2,,29.99,p3,c3
05-03-2018,1,29.99,2,,29.99,p3,c3
12-03-2018,2,59.98,2,,29.99,p3,c3
19-03-2018,248,7528.42,2,,30.35653226,p3,c3
26-03-2018,311,10181.63,298,,32.73836013,p3,c3
02-04-2018,281,9784.97,1242,,34.8219573,p3,c3
09-04-2018,229,8084.96,1636,,35.30550218,p3,c3
16-04-2018,330,10396.5,1727,,31.50454545,p3,c3
23-04-2018,325,9757.67,1471,,30.0236,p3,c3
30-04-2018,315,9446.85,1364,,29.99,p3,c3
07-05-2018,283,8494.43,1369,,30.01565371,p3,c3
14-05-2018,339,10183.12,1654,,30.03870206,p3,c3
21-05-2018,298,8937.02,1462,,29.99,p3,c3
28-05-2018,315,9446.85,1531,,29.99,p3,c3
04-06-2018,335,10046.65,1280,,29.99,p3,c3
11-06-2018,347,10406.53,1612,,29.99,p3,c3
18-06-2018,347,10431.53,1880,,30.06204611,p3,c3
25-06-2018,140,4207.23,1767,,30.05164286,p3,c3
02-07-2018,199,6938.05,1601,,34.86457286,p3,c3
09-07-2018,337,10810.28,1972,,32.0779822,p3,c3
16-07-2018,617,18526.03,2047,,30.02598055,p3,c3
23-07-2018,449,13471.28,1822,,30.00285078,p3,c3
30-07-2018,508,15256.05,1640,,30.03159449,p3,c3
06-08-2018,548,16434.66,1704,,29.99025547,p3,c3
13-08-2018,523,15695.95,1402,,30.01137667,p3,c3
20-08-2018,464,13915.36,972,,29.99,p3,c3
27-08-2018,825,24741.75,457,,29.99,p3,c3
03-09-2018,778,23332.22,769,,29.99,p3,c3
10-09-2018,680,20393.2,2299,,29.99,p3,c3
17-09-2018,780,23392.2,5706,,29.99,p3,c3
24-09-2018,868,26031.32,5114,,29.99,p3,c3
01-10-2018,588,17634.12,6177,,29.99,p3,c3
08-10-2018,574,17169.32,6190,,29.91170732,p3,c3
15-10-2018,594,17061.65,11320,,28.7233165,p3,c3
22-10-2018,616,17454.04,14129,,28.33448052,p3,c3
29-10-2018,767,21765.08,16827,,28.376897,p3,c3
05-11-2018,1076,30140.01,17337,,28.01116171,p3,c3
12-11-2018,1815,50801.85,16292,,27.99,p3,c3
19-11-2018,5694,137297.06,14176,,24.11258518,p3,c3
26-11-2018,6431,175164.76,11988,,27.23756181,p3,c3
03-12-2018,5723,160058.01,6982,,27.96750131,p3,c3
10-12-2018,6295,176197.05,2963,,27.99,p3,c3
17-12-2018,4842,139740.5,419,,28.86007848,p3,c3
24-12-2018,436,12907.53,315,,29.60442661,p3,c3
01-01-2018,228,3572.59,,,15.66925439,p4,c1
08-01-2018,437,7251.58,9357,,16.59400458,p4,c1
15-01-2018,86,1535.05,8846,,17.8494186,p4,c1
22-01-2018,64,1150.88,8760,,17.9825,p4,c1
29-01-2018,64,1150.72,8688,,17.98,p4,c1
05-02-2018,54,970.92,8631,,17.98,p4,c1
12-02-2018,58,1042.84,8606,,17.98,p4,c1
19-02-2018,55,988.9,8452,,17.98,p4,c1
26-02-2018,48,863.04,8502,,17.98,p4,c1
05-03-2018,64,1150.9,8449,,17.9828125,p4,c1
12-03-2018,68,1156.72,8375,,17.01058824,p4,c1
19-03-2018,331,4964.46,8317,,14.99836858,p4,c1
26-03-2018,116,1934.58,8174,,16.67741379,p4,c1
02-04-2018,154,2212.66,7932,,14.36792208,p4,c1
09-04-2018,144,2305.3,7815,,16.00902778,p4,c1
16-04-2018,86,1503.98,7611,,17.48813953,p4,c1
23-04-2018,86,1546.26,7528,,17.97976744,p4,c1
30-04-2018,112,2009.43,7431,,17.94133929,p4,c1
07-05-2018,468,18121.16,7303,,38.72042735,p4,c1
14-05-2018,926,36549.67,6936,,39.47048596,p4,c1
21-05-2018,780,30673.44,5981,,39.32492308,p4,c1
28-05-2018,685,26715,5101,,39,p4,c1
04-06-2018,190,7410,4416,,39,p4,c1
11-06-2018,13,507.58,4170,,39.04461538,p4,c1
18-06-2018,16,624,4135,,39,p4,c1
25-06-2018,14,546,4177,,39,p4,c1
02-07-2018,9,351,4184,,39,p4,c1
09-07-2018,12,468,4176,,39,p4,c1
16-07-2018,14,546,4165,,39,p4,c1
23-07-2018,7,273,4157,,39,p4,c1
30-07-2018,7,273,4148,,39,p4,c1
06-08-2018,4,156,4139,,39,p4,c1
13-08-2018,13,507,4138,,39,p4,c1
20-08-2018,11,429,4126,,39,p4,c1
27-08-2018,18,702,4068,,39,p4,c1
03-09-2018,10,390,4102,,39,p4,c1
10-09-2018,11,429,4078,,39,p4,c1
17-09-2018,25,977.94,4056,,39.1176,p4,c1
24-09-2018,3,112.47,4075,,37.49,p4,c1
01-10-2018,5,170,4043,,34,p4,c1
08-10-2018,8,272,4011,,34,p4,c1
15-10-2018,10,340,4035,,34,p4,c1
22-10-2018,11,374,4005,,34,p4,c1
29-10-2018,15,510,3995,,34,p4,c1
05-11-2018,10,340,3991,,34,p4,c1
12-11-2018,11,374,3985,,34,p4,c1
19-11-2018,21,714,3961,,34,p4,c1
26-11-2018,109,3317.03,4874,,30.43146789,p4,c1
03-12-2018,276,7278.23,12159,,26.37039855,p4,c1
10-12-2018,456,9222.18,19917,,20.22407895,p4,c1
17-12-2018,446,6953.58,24888,,15.59098655,p4,c1
24-12-2018,42,805.68,25649,,19.18285714,p4,c1
01-01-2018,225,8140.21,,,36.17871111,p5,c1
08-01-2018,281,10304.01,21079,,36.66907473,p5,c1
15-01-2018,396,15275.32,20775,,38.5740404,p5,c1
22-01-2018,270,9819,20450,,36.36666667,p5,c1
29-01-2018,294,10478.07,20168,,35.63969388,p5,c1
05-02-2018,388,14118.24,19891,,36.38721649,p5,c1
12-02-2018,222,8085.24,19505,,36.42,p5,c1
19-02-2018,108,3933.36,19200,,36.42,p5,c1
26-02-2018,100,3642,19082,,36.42,p5,c1
05-03-2018,176,6409.92,18955,,36.42,p5,c1
12-03-2018,225,8488.43,18780,,37.72635556,p5,c1
19-03-2018,457,17642.86,18576,,38.60582057,p5,c1
26-03-2018,158,6103.54,18274,,38.63,p5,c1
02-04-2018,272,10507.36,18076,,38.63,p5,c1
09-04-2018,192,7416.96,17821,,38.63,p5,c1
16-04-2018,291,11241.33,17582,,38.63,p5,c1
23-04-2018,199,7687.37,17285,,38.63,p5,c1
30-04-2018,250,9657.5,17095,,38.63,p5,c1
07-05-2018,225,8691.75,16842,,38.63,p5,c1
14-05-2018,249,9618.87,16571,,38.63,p5,c1
21-05-2018,244,9425.72,16380,,38.63,p5,c1
28-05-2018,160,6181.06,16136,,38.631625,p5,c1
04-06-2018,238,9193.94,15964,,38.63,p5,c1
11-06-2018,295,11395.85,15730,,38.63,p5,c1
18-06-2018,249,9618.87,15438,,38.63,p5,c1
25-06-2018,232,8962.16,15177,,38.63,p5,c1
02-07-2018,259,10005.17,14984,,38.63,p5,c1
09-07-2018,369,14255.05,14691,,38.63157182,p5,c1
16-07-2018,388,14988.44,14341,,38.63,p5,c1
23-07-2018,375,14486.25,13975,,38.63,p5,c1
30-07-2018,343,13250.09,13609,,38.63,p5,c1
06-08-2018,311,11980.99,13261,,38.5240836,p5,c1
13-08-2018,323,12477.49,12955,,38.63,p5,c1
20-08-2018,305,11782.6,12626,,38.63147541,p5,c1
15-10-2018,47,1724.54,10036,,36.69234043,p5,c1
22-10-2018,263,9822.38,9874,,37.34745247,p5,c1
29-10-2018,338,12601.62,9630,,37.28289941,p5,c1
05-11-2018,116,4331.34,9279,,37.33913793,p5,c1
12-11-2018,560,18754.91,8892,,33.49091071,p5,c1
19-11-2018,1671,44799.85,8404,,26.81020347,p5,c1
26-11-2018,1474,38401.74,7070,,26.05274084,p5,c1
03-12-2018,880,22887.4,4762,,26.00840909,p5,c1
24-12-2018,28,801.35,13,,28.61964286,p5,c1
01-01-2018,14,235.22,,,16.80142857,p6,c9
08-01-2018,16,356.87,286,,22.304375,p6,c9
15-01-2018,13,292.37,342,,22.49,p6,c9
22-01-2018,11,246.57,355,,22.41545455,p6,c9
29-01-2018,9,199.13,341,,22.12555556,p6,c9
05-02-2018,18,404,334,,22.44444444,p6,c9
12-02-2018,15,337.35,314,,22.49,p6,c9
19-02-2018,10,224.4,299,,22.44,p6,c9
26-02-2018,6,134.16,289,,22.36,p6,c9
05-03-2018,7,154.15,283,,22.02142857,p6,c9
12-03-2018,11,243.39,275,,22.12636364,p6,c9
19-03-2018,15,330.61,264,,22.04066667,p6,c9
26-03-2018,12,263.68,257,,21.97333333,p6,c9
02-04-2018,11,241.37,243,,21.94272727,p6,c9
09-04-2018,12,261.66,230,,21.805,p6,c9
16-04-2018,8,172.42,229,,21.5525,p6,c9
23-04-2018,7,154.57,220,,22.08142857,p6,c9
30-04-2018,14,302.59,214,,21.61357143,p6,c9
07-05-2018,11,243.39,200,,22.12636364,p6,c9
14-05-2018,11,245.41,190,,22.31,p6,c9
21-05-2018,15,328.59,179,,21.906,p6,c9
28-05-2018,8,169.46,162,,21.1825,p6,c9
04-06-2018,9,212.21,153,,23.57888889,p6,c9
11-06-2018,7,160.53,146,,22.93285714,p6,c9
18-06-2018,11,257.69,139,,23.42636364,p6,c9
25-06-2018,4,85.96,126,,21.49,p6,c9
02-07-2018,8,170.72,122,,21.34,p6,c9
09-07-2018,8,171.92,114,,21.49,p6,c9
16-07-2018,6,128.94,105,,21.49,p6,c9
23-07-2018,9,191.01,100,,21.22333333,p6,c9
30-07-2018,11,233.99,93,,21.27181818,p6,c9
06-08-2018,14,301.11,80,,21.50785714,p6,c9
13-08-2018,13,278.17,70,,21.39769231,p6,c9
20-08-2018,10,213.7,54,,21.37,p6,c9
27-08-2018,19,408.31,43,,21.49,p6,c9
03-09-2018,25,532.45,44,,21.298,p6,c9
10-09-2018,22,470.38,42,,21.38090909,p6,c9
17-09-2018,28,595.72,55,,21.27571429,p6,c9
24-09-2018,35,748.55,37,,21.38714286,p6,c9
01-10-2018,11,233.99,31,,21.27181818,p6,c9
08-10-2018,7,150.43,29,,21.49,p6,c9
15-10-2018,19,405.91,34,,21.36368421,p6,c9
22-10-2018,8,170.72,54,,21.34,p6,c9
29-10-2018,18,385.62,42,,21.42333333,p6,c9
05-11-2018,16,341.44,64,,21.34,p6,c9
12-11-2018,27,577.83,95,,21.40111111,p6,c9
19-11-2018,27,579.03,69,,21.44555556,p6,c9
26-11-2018,51,1094.65,141,,21.46372549,p6,c9
03-12-2018,49,1020.81,117,,20.83285714,p6,c9
10-12-2018,93,1770.79,140,,19.04075269,p6,c9
17-12-2018,104,1974.96,72,,18.99,p6,c9
24-12-2018,10,189.9,36,,18.99,p6,c9
01-01-2018,340,4894.39,,,14.39526471,p7,c9
08-01-2018,310,5719.8,6983,,18.45096774,p7,c9
15-01-2018,272,5104.38,6677,,18.76610294,p7,c9
22-01-2018,264,4926.46,6422,,18.66083333,p7,c9
29-01-2018,309,5004,6162,,16.19417476,p7,c9
05-02-2018,356,5728.54,5852,,16.09140449,p7,c9
12-02-2018,265,4263.85,5451,,16.09,p7,c9
19-02-2018,279,4490.06,5204,,16.09340502,p7,c9
26-02-2018,265,4264.54,4887,,16.09260377,p7,c9
05-03-2018,294,5035.65,4610,,17.12806122,p7,c9
12-03-2018,282,5097.89,4278,,18.07762411,p7,c9
19-03-2018,382,7167.89,4082,,18.76410995,p7,c9
26-03-2018,250,4745.02,3870,,18.98008,p7,c9
02-04-2018,222,4215.95,3507,,18.99076577,p7,c9
09-04-2018,174,3304.26,3314,,18.99,p7,c9
16-04-2018,202,3835.98,3107,,18.99,p7,c9
23-04-2018,195,3569.94,2893,,18.30738462,p7,c9
30-04-2018,251,4494.46,2721,,17.90621514,p7,c9
07-05-2018,200,3564.1,2418,,17.8205,p7,c9
14-05-2018,234,4213.08,1911,,18.00461538,p7,c9
21-05-2018,287,4493.16,2013,,15.65560976,p7,c9
28-05-2018,266,4134.08,1731,,15.54165414,p7,c9
04-06-2018,270,4184.74,1458,,15.49903704,p7,c9
11-06-2018,253,3923.78,1163,,15.50901186,p7,c9
18-06-2018,234,3628.35,938,,15.50576923,p7,c9
25-06-2018,233,3611.35,741,,15.49935622,p7,c9
02-07-2018,221,3430.34,1149,,15.52190045,p7,c9
09-07-2018,236,3658.25,1406,,15.50105932,p7,c9
16-07-2018,292,4534.17,1358,,15.52797945,p7,c9
23-07-2018,245,3795.18,1347,,15.49053061,p7,c9
30-07-2018,256,3970.6,1409,,15.51015625,p7,c9
06-08-2018,281,4325.11,1336,,15.39185053,p7,c9
13-08-2018,234,4590.11,1204,,19.6158547,p7,c9
20-08-2018,293,5823.66,988,,19.8759727,p7,c9
27-08-2018,403,7485.79,673,,18.57516129,p7,c9
03-09-2018,535,9811.96,1467,,18.34011215,p7,c9
10-09-2018,465,8906.67,3973,,19.15412903,p7,c9
17-09-2018,569,9993.15,7141,,17.56265378,p7,c9
24-09-2018,660,11722.12,8116,,17.76078788,p7,c9
01-10-2018,359,6165.46,7834,,17.17398329,p7,c9
08-10-2018,412,6600.18,7978,,16.01985437,p7,c9
15-10-2018,411,6572.41,7997,,15.99126521,p7,c9
22-10-2018,400,6397.06,7975,,15.99265,p7,c9
29-10-2018,432,6995.21,10556,,16.19261574,p7,c9
05-11-2018,472,7697.52,10154,,16.30830508,p7,c9
12-11-2018,402,6556.7,10022,,16.310199,p7,c9
19-11-2018,520,8481.97,9665,,16.31148077,p7,c9
26-11-2018,795,12968.61,9265,,16.31271698,p7,c9
03-12-2018,822,13326.25,8658,,16.21198297,p7,c9
10-12-2018,969,14768.65,7938,,15.24112487,p7,c9
17-12-2018,763,11589.97,7158,,15.19,p7,c9
24-12-2018,119,1807.61,6322,,15.19,p7,c9
01-01-2018,124,1871.51,,,15.09282258,p8,c9
08-01-2018,147,2208.51,1386,,15.02387755,p8,c9
15-01-2018,135,2035.35,1242,,15.07666667,p8,c9
22-01-2018,159,2391.75,1112,,15.04245283,p8,c9
29-01-2018,125,1879.01,977,,15.03208,p8,c9
05-02-2018,158,2414.02,836,,15.27860759,p8,c9
12-02-2018,87,1514.73,683,,17.41068966,p8,c9
19-02-2018,103,1798.46,580,,17.4607767,p8,c9
26-02-2018,118,2063.73,474,,17.48923729,p8,c9
05-03-2018,112,1929.33,357,,17.22616071,p8,c9
12-03-2018,120,2005.5,242,,16.7125,p8,c9
19-03-2018,169,2796.3,125,,16.54615385,p8,c9
26-03-2018,119,1945.44,421,,16.34823529,p8,c9
02-04-2018,186,3039.28,807,,16.34021505,p8,c9
09-04-2018,99,1617.75,771,,16.34090909,p8,c9
16-04-2018,118,2007.62,675,,17.01372881,p8,c9
23-04-2018,96,1701.14,652,,17.72020833,p8,c9
30-04-2018,110,1802.7,634,,16.38818182,p8,c9
07-05-2018,100,1634,557,,16.34,p8,c9
14-05-2018,91,1486.94,513,,16.34,p8,c9
21-05-2018,84,1369.46,569,,16.30309524,p8,c9
28-05-2018,87,1417.37,586,,16.2916092,p8,c9
04-06-2018,99,1612.8,541,,16.29090909,p8,c9
11-06-2018,111,1808.19,453,,16.29,p8,c9
18-06-2018,100,1629,346,,16.29,p8,c9
25-06-2018,87,1417.23,261,,16.29,p8,c9
02-07-2018,57,928.53,337,,16.29,p8,c9
09-07-2018,68,1107.72,367,,16.29,p8,c9
16-07-2018,72,1172.88,552,,16.29,p8,c9
23-07-2018,89,1449.81,577,,16.29,p8,c9
30-07-2018,95,1547.55,595,,16.29,p8,c9
06-08-2018,108,1759.32,539,,16.29,p8,c9
13-08-2018,122,1987.38,465,,16.29,p8,c9
20-08-2018,152,2462.01,398,,16.19743421,p8,c9
27-08-2018,265,4215.72,266,,15.90837736,p8,c9
03-09-2018,246,3909.3,301,,15.89146341,p8,c9
10-09-2018,298,4735.22,321,,15.89,p8,c9
17-09-2018,273,4337.99,317,,15.89007326,p8,c9
24-09-2018,262,4163.18,335,,15.89,p8,c9
01-10-2018,167,2653.63,332,,15.89,p8,c9
08-10-2018,160,2542.4,361,,15.89,p8,c9
15-10-2018,141,2240.49,447,,15.89,p8,c9
22-10-2018,138,2192.82,486,,15.89,p8,c9
29-10-2018,174,2764.86,806,,15.89,p8,c9
05-11-2018,211,3352.88,770,,15.89042654,p8,c9
12-11-2018,228,3622.92,947,,15.89,p8,c9
19-11-2018,275,4369.75,1711,,15.89,p8,c9
26-11-2018,488,7754.32,2273,,15.89,p8,c9
03-12-2018,481,7643.09,3065,,15.89,p8,c9
10-12-2018,617,9804.13,2718,,15.89,p8,c9
17-12-2018,528,8389.92,2198,,15.89,p8,c9
24-12-2018,52,820.8,1769,,15.78461538,p8,c9
01-01-2018,26,727.74,,,27.99,p9,c8
08-01-2018,23,643.77,138,,27.99,p9,c8
15-01-2018,22,615.78,141,,27.99,p9,c8
22-01-2018,23,643.77,122,,27.99,p9,c8
29-01-2018,15,419.85,99,,27.99,p9,c8
05-02-2018,31,867.69,83,,27.99,p9,c8
12-02-2018,20,559.8,58,,27.99,p9,c8
19-02-2018,25,699.75,36,,27.99,p9,c8
26-02-2018,2,55.98,3,,27.99,p9,c8
05-03-2018,6,167.94,0,,27.99,p9,c8
19-03-2018,16,447.84,0,,27.99,p9,c8
26-03-2018,24,671.76,33,,27.99,p9,c8
02-04-2018,19,531.81,111,,27.99,p9,c8
09-04-2018,14,391.86,119,,27.99,p9,c8
16-04-2018,17,473.46,115,,27.85058824,p9,c8
23-04-2018,19,506.06,109,,26.63473684,p9,c8
30-04-2018,16,412.89,103,,25.805625,p9,c8
07-05-2018,14,361.18,101,,25.79857143,p9,c8
14-05-2018,18,463.86,91,,25.77,p9,c8
21-05-2018,24,618.48,78,,25.77,p9,c8
28-05-2018,28,721.56,75,,25.77,p9,c8
04-06-2018,20,515.4,64,,25.77,p9,c8
11-06-2018,14,360.78,89,,25.77,p9,c8
18-06-2018,25,644.25,100,,25.77,p9,c8
25-06-2018,23,592.71,118,,25.77,p9,c8
02-07-2018,32,824.64,107,,25.77,p9,c8
09-07-2018,22,566.94,93,,25.77,p9,c8
16-07-2018,38,979.26,97,,25.77,p9,c8
23-07-2018,30,773.1,93,,25.77,p9,c8
30-07-2018,34,876.18,81,,25.77,p9,c8
06-08-2018,40,1030.8,110,,25.77,p9,c8
13-08-2018,23,706.52,93,,30.71826087,p9,c8
20-08-2018,28,931.18,125,,33.25642857,p9,c8
27-08-2018,20,759.8,133,,37.99,p9,c8
03-09-2018,41,1483.59,110,,36.18512195,p9,c8
10-09-2018,31,1119.69,134,,36.11903226,p9,c8
17-09-2018,38,1366.18,168,,35.95210526,p9,c8
24-09-2018,46,1653.7,183,,35.95,p9,c8
01-10-2018,19,683.05,173,,35.95,p9,c8
08-10-2018,24,862.8,170,,35.95,p9,c8
15-10-2018,34,1222.3,154,,35.95,p9,c8
22-10-2018,28,1006.6,123,,35.95,p9,c8
29-10-2018,33,1186.35,99,,35.95,p9,c8
05-11-2018,27,970.65,124,,35.95,p9,c8
12-11-2018,33,1186.35,133,,35.95,p9,c8
19-11-2018,54,1941.3,242,,35.95,p9,c8
26-11-2018,179,5499.33,346,,30.72251397,p9,c8
03-12-2018,214,6418.16,259,,29.99140187,p9,c8
10-12-2018,165,4948.35,165,,29.99,p9,c8
17-12-2018,112,3358.88,9,,29.99,p9,c8
24-12-2018,11,329.89,6,,29.99,p9,c8
01-01-2018,485,2680.33,,,5.526453608,p10,c5
08-01-2018,517,2903.38,3214,,5.61582205,p10,c5
15-01-2018,527,2952.42,2715,,5.602314991,p10,c5
22-01-2018,683,3481.24,2194,,5.096983895,p10,c5
29-01-2018,611,3396.35,1523,,5.558674304,p10,c5
05-02-2018,583,3265.24,1927,,5.600754717,p10,c5
12-02-2018,418,2342.39,2393,,5.603803828,p10,c5
19-02-2018,545,2880.93,2328,,5.286110092,p10,c5
26-02-2018,651,3421.46,2298,,5.255698925,p10,c5
05-03-2018,503,2663.43,2026,,5.295089463,p10,c5
12-03-2018,440,2340.13,1913,,5.318477273,p10,c5
19-03-2018,678,3554.6,1662,,5.242772861,p10,c5
26-03-2018,437,2437.17,1628,,5.577048055,p10,c5
02-04-2018,419,2274.62,1581,,5.428687351,p10,c5
09-04-2018,518,2754.31,1487,,5.317200772,p10,c5
16-04-2018,565,2894.32,1373,,5.122690265,p10,c5
23-04-2018,415,2183.17,1258,,5.260650602,p10,c5
30-04-2018,457,2448.76,828,,5.35833698,p10,c5
07-05-2018,422,2256.52,1902,,5.347203791,p10,c5
14-05-2018,566,2985.17,1192,,5.274151943,p10,c5
21-05-2018,400,2159.7,1321,,5.39925,p10,c5
28-05-2018,363,2015.99,1139,,5.55369146,p10,c5
04-06-2018,478,2812.86,1470,,5.884644351,p10,c5
11-06-2018,423,2492.08,980,,5.89144208,p10,c5
18-06-2018,482,2839.52,552,,5.891120332,p10,c5
25-06-2018,44,259.33,123,,5.893863636,p10,c5
02-07-2018,130,766.14,20,,5.893384615,p10,c5
09-07-2018,4,23.6,10,,5.9,p10,c5
16-07-2018,614,3619.17,607,,5.894413681,p10,c5
23-07-2018,534,3144.62,513,,5.888801498,p10,c5
30-07-2018,168,990.42,97,,5.895357143,p10,c5
06-08-2018,787,4636.38,440,,5.891207116,p10,c5
13-08-2018,813,4789.66,1779,,5.891340713,p10,c5
20-08-2018,841,4954.13,3941,,5.890760999,p10,c5
27-08-2018,1356,7986.99,3422,,5.890110619,p10,c5
03-09-2018,1604,9448.1,3454,,5.890336658,p10,c5
10-09-2018,1889,11126.96,2268,,5.890397035,p10,c5
17-09-2018,1446,8517.59,1500,,5.890449516,p10,c5
24-09-2018,1013,5967.72,518,,5.891135242,p10,c5
01-10-2018,7,41.23,50,,5.89,p10,c5
08-10-2018,2,11.81,38,,5.905,p10,c5
